epoch,accuracy,loss,val_accuracy,val_loss
0,0.3614724576473236,1.3280916213989258,0.48414984345436096,1.2749921083450317
1,0.6509825587272644,0.9887253642082214,0.6599423885345459,0.9149489402770996
2,0.792969822883606,0.5946150422096252,0.7118155360221863,0.7887131571769714
3,0.8433434963226318,0.42514607310295105,0.6858789920806885,0.7557058930397034
4,0.8773872256278992,0.33811715245246887,0.6743515729904175,0.8113040924072266
5,0.900636613368988,0.2837041914463043,0.6570605039596558,0.8601135611534119
6,0.9205646514892578,0.2355927675962448,0.6743515729904175,0.8939677476882935
7,0.9366177916526794,0.19665049016475677,0.6743515729904175,0.9449512958526611
8,0.9465817809104919,0.1705423891544342,0.6829971075057983,0.9976625442504883
9,0.9573761224746704,0.1472405642271042,0.6714697480201721,1.0909571647644043
10,0.9595903754234314,0.13544940948486328,0.6685879230499268,1.1129778623580933
11,0.9665098190307617,0.11529626697301865,0.6685879230499268,1.1805901527404785
12,0.9690008163452148,0.10500120371580124,0.680115282535553,1.19871985912323
13,0.9703847169876099,0.09734584391117096,0.680115282535553,1.264007806777954
14,0.9717686176300049,0.09474822133779526,0.6685879230499268,1.2745698690414429
15,0.9723221659660339,0.08923732489347458,0.6541786789894104,1.3689756393432617
16,0.9745364189147949,0.08600979298353195,0.6628242135047913,1.3668205738067627
17,0.974259614944458,0.08055763691663742,0.680115282535553,1.3966296911239624
18,0.9778577089309692,0.07365648448467255,0.6657060384750366,1.4375272989273071
19,0.9748131632804871,0.07648220658302307,0.6685879230499268,1.4309405088424683
20,0.9773041605949402,0.07071629166603088,0.6628242135047913,1.4600194692611694
21,0.9775809645652771,0.06792321056127548,0.6685879230499268,1.4195475578308105
22,0.9759202599525452,0.06736478954553604,0.6599423885345459,1.5076450109481812
23,0.9789648652076721,0.0609164796769619,0.6743515729904175,1.5355006456375122
24,0.9761970639228821,0.06420374661684036,0.6714697480201721,1.5276678800582886
